,training_data_stanford.csv_diff,count1,training_data_thu.csv_diff,count2,training_data_stanford.csv_SegmentedInput,training_data_thu.csv_SegmentedInput
0,,0,,0,零存 整取 存款 分 几 期 ,零存 整取 存款 分 几 期
1,,0,,0, 零存 整取 定期 有 多少 期 ,零存 整取 定期 有 多少 期
2,,0,,0, 零存 整取 能 办理 一个 月 吗 ,零存 整取 能 办理 一个 月 吗
3,,0,,0, 零存 整取 能 存 多久 ,零存 整取 能 存 多久
4,,0,,0, 零存 整取 一般 多久 ,零存 整取 一般 多久
5,,0,,0, 零存 整取 有 一 年 吗 ,零存 整取 有 一 年 吗
6,,0,,0, 零存 整取 最 长存 多久 ,零存 整取 最 长存 多久
7,,0,,0, 零存 整取 最 短 多久 ,零存 整取 最 短 多久
8,,0,,0, 有 六 个 月 零存 整取 吗 ,有 六 个 月 零存 整取 吗
9,,0,,0, 有 三 个 月 零存 整取 吗 ,有 三 个 月 零存 整取 吗
10,! 计息,1,! 计 ! 息,2, 零存 整取 不足 半 年 计息 ,零存 整取 不足 半 年 计 息
11,! 半 ! 年 ! 计息,3,! 半年计 ! 息,2, 零存 整取 超过 半 年 计息 ,零存 整取 超过 半年计 息
12,! 怎么 ! 办,2,! 怎么办,1, 零存 整取 存期 内 利率 提高 怎么 办 ,零存 整取 存期 内 利率 提高 怎么办
13,! 怎么 ! 办,2,! 怎么办,1, 零存 整取 存期 内 利率 下调 怎么 办 ,零存 整取 存期 内 利率 下调 怎么办
14,,0,,0, 零存 整取 的 计息 要求 ,零存 整取 的 计息 要求
15,,0,,0, 零存 整取 的 利息 规定 ,零存 整取 的 利息 规定
16,,0,,0, 零存 整取 的 利息 规则 ,零存 整取 的 利息 规则
17,,0,,0, 零存 整取 提前 支取 利息 ,零存 整取 提前 支取 利息
18,,0,,0, 零存 整取 逾期 支取 利息 ,零存 整取 逾期 支取 利息
19,! 怎么 ! 办,2,! 怎么办,1, 零存 整取 遇到 利息 变化 怎么 办 ,零存 整取 遇到 利息 变化 怎么办
20,,0,,0, 零存 整取 部分 提前 支取 可以 吗 ,零存 整取 部分 提前 支取 可以 吗
21,,0,,0, 零存 整取 部分 提前 支取 需要 看 身份证 吗 ,零存 整取 部分 提前 支取 需要 看 身份证 吗
22,! 没到 ! 期 ! 一 ! 部分,4,! 没 ! 到期 ! 一部分,3, 零存 整取 可以 不 可以 没到 期 取 一 部分 ,零存 整取 可以 不 可以 没 到期 取 一部分
23,,0,,0, 零存 整取 没 到期 支取 可以 吗 ,零存 整取 没 到期 支取 可以 吗
24,,0,,0, 零存 整取 能 不 能 部分 提前 支取 ,零存 整取 能 不 能 部分 提前 支取
25,,0,,0, 零存 整取 能否 凭 证件 提前 支取 ,零存 整取 能否 凭 证件 提前 支取
26,,0,,0, 零存 整取 能否 全部 提前 支取 ,零存 整取 能否 全部 提前 支取
27,,0,,0, 零存 整取 让 不 让 部分 提前 支取 ,零存 整取 让 不 让 部分 提前 支取
28,,0,,0, 零存 整取 让 不 让 全部 提前 支取 ,零存 整取 让 不 让 全部 提前 支取
